,url,year,imdb_link,title,Based on,Starring,Cinematography,Release date,Country,Language,Director,Distributor,Editor(s),Composer(s),Producer(s),Production company(s),Writer(s),imdb_id,box_office,budget,release_date,running_time
0,https://en.wikipedia.org/wiki/The_Adventures_of_Ford_Fairlane,1990,https://www.imdb.com/title/tt0098987/,The Adventures of Ford Fairlane,"['Characters', 'by Rex Weiner']","['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley', 'Lauren Holly', 'Morris Day', 'Robert Englund', ""Ed O'Neill""]",Oliver Wood,"['July 11, 1990', '(', '1990-07-11', ')']",United States,English,Renny Harlin,20th Century Fox,Michael Tronick,"['Cliff Eidelman', 'Yello']","['Steve Perry', 'Joel Silver']",Silver Pictures,"['David Arnott', 'James Cappe']",tt0098987,21400000,20000000,1990-07-11,102
1,"https://en.wikipedia.org/wiki/After_Dark,_My_Sweet",1990,https://www.imdb.com/title/tt0098994/,"After Dark, My Sweet","['the novel', 'After Dark, My Sweet', 'by', 'Jim Thompson']","['Jason Patric', 'Rachel Ward', 'Bruce Dern', 'George Dickerson']",Mark Plummer,"['May 17, 1990', '(', '1990-05-17', ')', '(Cannes Film Market)', 'August 24, 1990', '(', '1990-08-24', ')', '(United States)']",United States,English,James Foley,Avenue Pictures,Howard E. Smith,Maurice Jarre,"['Ric Kidney', 'Robert Redlin']",Avenue Pictures,"['James Foley', 'Robert Redlin']",tt0098994,2700000,6000000,1990-05-17,114
2,https://en.wikipedia.org/wiki/Air_America_(film),1990,https://www.imdb.com/title/tt0099005/,Air America,"['Air America', 'by', 'Christopher Robbins']","['Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis', 'David Marshall Grant', 'Lane Smith']",Roger Deakins,"['August 10, 1990', '(', '1990-08-10', ')']",United States,"['English', 'Lao']",Roger Spottiswoode,TriStar Pictures,"['John Bloom', 'Lois Freeman-Fox']",Charles Gross,Daniel Melnick,"['Carolco Pictures', 'IndieProd Company']","['John Eskow', 'Richard Rush']",tt0099005,57718089,35000000,1990-08-10,113
3,https://en.wikipedia.org/wiki/Alice_(1990_film),1990,https://www.imdb.com/title/tt0099012/,Alice,,"['Alec Baldwin', 'Blythe Danner', 'Judy Davis', 'Mia Farrow', 'William Hurt', 'Keye Luke', 'Joe Mantegna', 'Bernadette Peters']",Carlo Di Palma,"['December 25, 1990', '(', '1990-12-25', ')']",United States,English,Woody Allen,Orion Pictures,Susan E. Morse,,Robert Greenhut,,Woody Allen,tt0099012,7331647,12000000,1990-12-25,106
4,https://en.wikipedia.org/wiki/Almost_an_Angel,1990,https://www.imdb.com/title/tt0099018/,Almost an Angel,,"['Paul Hogan', 'Elias Koteas', 'Linda Kozlowski']",Russell Boyd,19-Dec-90,US,English,John Cornell,Paramount Pictures,David Stiven,Maurice Jarre,John Cornell,,Paul Hogan,tt0099018,6939946,25000000,1990-12-19,95
5,https://en.wikipedia.org/wiki/The_Ambulance,1990,https://www.imdb.com/title/tt0099026/,The Ambulance,,"['Eric Roberts', 'James Earl Jones', 'Red Buttons', 'Megan Gallagher']",Jacques Haitkin,"['March 22, 1990', '(', '1990-03-22', ')']",United States,English,Larry Cohen,Triumph Releasing Corporation,"['Claudia Finkle', 'Armond Leibowitz']",Jay Chattaway,"['Larry Cohen', 'Moctesuma Esparza', 'Robert Katz']",Epic Productions,Larry Cohen,tt0099026,,,1990-03-22,95
6,https://en.wikipedia.org/wiki/American_Dream_(film),1990,https://www.imdb.com/title/tt0099028/,American Dream,,,"['Tom Hurwitz', 'Mathieu Roberts', 'Nesya Shapiro']","['October 6, 1990', '(', '1990-10-06', ')', '(', 'New York Film Festival', ')']","['United States', 'United Kingdom']",English,"['Barbara Kopple', 'Co-directors:', 'Cathy Caplan', 'Thomas Haneke', 'Lawrence Silk']",Prestige Films,"['Cathy Caplan', 'Thomas Haneke', 'Lawrence Silk']",Michael Small,"['Arthur Cohn', 'Barbara Kopple']","['Cabin Creek', 'Catholic Communication Campaign', 'Channel 4 Films']",,tt0099028,,,1990-01-01,100
7,https://en.wikipedia.org/wiki/American_Ninja_4:_The_Annihilation,1990,https://www.imdb.com/title/tt0101326/,American Ninja 4: The Annihilation,,"['Michael Dudikoff', 'David Bradley', 'James Booth', 'Dwayne Alexandre']",,"['March 8, 1991', '(', '1991-03-08', ')']","['United States', 'Lesotho']",English,Cedric Sundstrom,Cannon Group,,,Ovidio G Assonitis,,David Geeves,tt0101326,,,1991-01-01,99
8,https://en.wikipedia.org/wiki/Andre%27s_Mother,1990,https://www.imdb.com/title/tt0099037/,Andre's Mother,,"['Richard Thomas', 'Sada Thompson', 'Sylvia Sidney']",Bobby Bukowski,"['March 7, 1990', '(', '1990-03-07', ')']",United States,English,Deborah Reinisch,Public Broadcasting Service,Jeffrey Wolf,Jonathan Sheffer,"['Sarah Green', 'Deborah Reinisch']",,Terrence McNally,tt0099037,,,1990-01-01,50
9,https://en.wikipedia.org/wiki/Angel_Town_(film),1990,https://www.imdb.com/title/tt0099039/,Angel Town,,"['Olivier Gruner', 'Theresa Saldana', 'Frank Aragon', 'Tony Valentino', 'Peter Kwong', 'Mike Moroff']",John LeBlanc,"['February 23, 1990 (', 'USA', ')']",United States,English,Eric Karson,Imperial Entertainment,Duane Hartzell,Terry Plumeri,"['Ash R. Shah', 'Eric Karson']",,S. Warren,tt0099039,855810,,1990-02-23,102
10,https://en.wikipedia.org/wiki/Another_48_Hrs.,1990,https://www.imdb.com/title/tt0099044/,Another 48 Hrs.,"['Characters by', 'Roger Spottiswoode', 'Walter Hill', 'Larry Gross', 'Steven E. de Souza']","['Eddie Murphy', 'Nick Nolte', 'Brion James', ""Ed O'Ross"", 'Andrew Divoff']",Matthew F. Leonetti,"['June 8, 1990', '(', '1990-06-08', ')']",United States,English,Walter Hill,Paramount Pictures,"['Donn Aron', 'Carmel Davies', 'Freeman A. Davies', 'Tim Ryder']",James Horner,"['Lawrence Gordon', 'Robert D. Wachs']",Eddie Murphy Productions,Fred Braughton,tt0099044,195300000,50000000,1990-01-01,93
11,https://en.wikipedia.org/wiki/Arachnophobia_(film),1990,https://www.imdb.com/title/tt0099052/,Arachnophobia,,"['Jeff Daniels', 'Julian Sands', 'Harley Jane Kozak', 'John Goodman']",Mikael Salomon,"['July 18, 1990', '(', '1990-07-18', ')']",United States,English,Frank Marshall,Buena Vista Pictures,Michael Kahn,Trevor Jones,"['Kathleen Kennedy', 'Richard Vane']","['Hollywood Pictures', 'Amblin Entertainment', 'Tangled Web Productions']","['Don Jakoby', 'Al Williams']",tt0099052,53200000,22000000,1990-07-18,110
12,https://en.wikipedia.org/wiki/Avalon_(1990_film),1990,https://www.imdb.com/title/tt0099073/,Avalon,,"['Armin Mueller-Stahl', 'Elizabeth Perkins', 'Joan Plowright', 'Aidan Quinn']",Allen Daviau,"['October 5, 1990', '(', '1990-10-05', ')', '(United States)']",United States,English,Barry Levinson,"['TriStar Pictures', '(United States)', 'Columbia Pictures', '(United Kingdom)', '[1]']",Stu Linder,Randy Newman,"['Mark Johnson', 'Barry Levinson']",Baltimore Pictures,Barry Levinson,tt0099073,15700000,,1990-01-01,126
13,https://en.wikipedia.org/wiki/Awakenings,1990,https://www.imdb.com/title/tt0099077/,Awakenings,"['Awakenings', 'by', 'Oliver Sacks']","['Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Max von Sydow']",Miroslav Ondricek,"['December 20, 1990 (limited U.S.)', 'January 11, 1991 (wide U.S.)']",United States,English,Penny Marshall,Columbia Pictures,"['Battle Davis', 'Jerry Greenberg']",Randy Newman,"['Walter F. Parkes', 'Lawrence Lasker']",Lasker/Parkes Productions,Steven Zaillian,tt0099077,52100000,29000000,1990-12-20,121
